Precision,Accuracy,Time for iteration
1,27,0.0
2,41,0.0
3,55,0.0
4,69,0.0
5,84,0.0
6,98,0.0
7,112,0.0
8,126,0.0009984970092773438
9,141,0.0010232925415039062
10,155,0.0
11,169,0.0009951591491699219
12,183,0.0
13,197,0.0010006427764892578
14,212,0.0009922981262207031
15,226,0.0009167194366455078
16,240,0.0009987354278564453
17,254,0.0010001659393310547
18,268,0.0009987354278564453
19,282,0.0009953975677490234
20,296,0.0009999275207519531
21,311,0.0010001659393310547
22,325,0.0011191368103027344
23,339,0.0009911060333251953
24,353,0.0009932518005371094
25,368,0.0011668205261230469
26,382,0.0009996891021728516
27,396,0.0010044574737548828
28,410,0.002000093460083008
29,424,0.0020008087158203125
30,439,0.0019919872283935547
31,453,0.0009996891021728516
32,467,0.0009984970092773438
33,480,0.0020003318786621094
34,495,0.0010008811950683594
35,510,0.001994609832763672
36,523,0.001992940902709961
37,538,0.0009992122650146484
38,552,0.0019829273223876953
39,566,0.0020020008087158203
40,580,0.0019948482513427734
41,595,0.00199127197265625
42,608,0.0019860267639160156
43,623,0.001997709274291992
44,636,0.001999378204345703
45,651,0.0020143985748291016
46,665,0.0020067691802978516
47,680,0.0019998550415039062
48,694,0.0019996166229248047
49,708,0.002002716064453125
50,722,0.0019969940185546875
51,736,0.0030028820037841797
52,750,0.0019974708557128906
53,760,0.003000020980834961
54,778,0.002000093460083008
55,792,0.0020003318786621094
56,807,0.0029916763305664062
57,822,0.0019974708557128906
58,836,0.0029926300048828125
59,850,0.001997709274291992
60,864,0.001995563507080078
61,878,0.0019986629486083984
62,893,0.0036420822143554688
63,906,0.0031583309173583984
64,920,0.0029993057250976562
65,935,0.0019989013671875
66,949,0.003007173538208008
67,964,0.0030031204223632812
68,978,0.0029931068420410156
69,992,0.003004312515258789
70,1006,0.00316619873046875
71,1020,0.00398707389831543
72,1035,0.003004789352416992
73,1049,0.0029997825622558594
74,1063,0.003070354461669922
75,1076,0.00299835205078125
76,1091,0.0031630992889404297
77,1105,0.0030002593994140625
78,1119,0.003001689910888672
79,1133,0.0032660961151123047
80,1148,0.0040130615234375
81,1162,0.00299835205078125
82,1176,0.003996610641479492
83,1189,0.004000186920166016
84,1204,0.00400233268737793
85,1219,0.004096269607543945
86,1233,0.003998994827270508
87,1247,0.003004789352416992
88,1261,0.0030112266540527344
89,1276,0.004002809524536133
90,1289,0.0029921531677246094
91,1304,0.004229545593261719
92,1317,0.004029989242553711
93,1332,0.004000186920166016
94,1346,0.003997087478637695
95,1361,0.004007577896118164
96,1375,0.004009723663330078
97,1389,0.003988742828369141
98,1403,0.0039920806884765625
99,1418,0.003999471664428711
100,1432,0.004038572311401367
101,1445,0.004049539566040039
102,1460,0.004015922546386719
103,1474,0.0042133331298828125
104,1489,0.006113529205322266
105,1503,0.005011320114135742
106,1517,0.004999876022338867
107,1530,0.004373788833618164
108,1545,0.005000114440917969
109,1559,0.003999948501586914
110,1574,0.004128456115722656
111,1586,0.003998517990112305
112,1602,0.004011869430541992
113,1615,0.004996776580810547
114,1630,0.004434108734130859
115,1644,0.005002737045288086
116,1658,0.003998994827270508
117,1673,0.00405430793762207
118,1686,0.004999876022338867
119,1701,0.0049076080322265625
120,1715,0.004998683929443359
121,1728,0.004998207092285156
122,1744,0.005000591278076172
123,1757,0.004990100860595703
124,1772,0.005343198776245117
125,1785,0.004999637603759766
126,1800,0.0061054229736328125
127,1815,0.004999876022338867
128,1828,0.005385160446166992
129,1843,0.0059926509857177734
130,1857,0.004988193511962891
131,1871,0.005041599273681641
132,1885,0.0052721500396728516
133,1900,0.004999399185180664
134,1913,0.00599980354309082
135,1928,0.004999876022338867
136,1942,0.006127834320068359
137,1956,0.005098104476928711
138,1971,0.004989147186279297
139,1985,0.006000041961669922
140,1999,0.006127595901489258
141,2013,0.005998849868774414
142,2027,0.0049936771392822266
143,2042,0.005997180938720703
144,2056,0.0059986114501953125
145,2069,0.00599980354309082
146,2084,0.0060002803802490234
147,2098,0.005995750427246094
148,2113,0.006000995635986328
149,2127,0.006000041961669922
150,2140,0.006018638610839844
151,2155,0.005970954895019531
152,2169,0.005993366241455078
153,2183,0.006989955902099609
154,2198,0.0061893463134765625
155,2211,0.006000041961669922
156,2225,0.005991458892822266
157,2239,0.006902933120727539
158,2254,0.005993843078613281
159,2268,0.007009983062744141
160,2282,0.006943464279174805
161,2297,0.00624537467956543
162,2311,0.006984233856201172
163,2325,0.006073474884033203
164,2337,0.007266521453857422
165,2352,0.007010698318481445
166,2368,0.006093263626098633
167,2382,0.006330728530883789
168,2396,0.007249355316162109
169,2410,0.008008956909179688
170,2424,0.007005214691162109
171,2438,0.007002592086791992
172,2453,0.00700068473815918
173,2467,0.007091522216796875
174,2481,0.007000446319580078
175,2495,0.0071218013763427734
176,2510,0.006998538970947266
177,2524,0.007995128631591797
178,2537,0.008242130279541016
179,2551,0.006886482238769531
180,2565,0.007983207702636719
181,2581,0.0069997310638427734
182,2595,0.007004976272583008
183,2608,0.007999897003173828
184,2623,0.008111953735351562
185,2637,0.0069997310638427734
186,2651,0.007999658584594727
187,2665,0.007999897003173828
188,2680,0.007200717926025391
189,2694,0.00800180435180664
190,2708,0.008011102676391602
191,2722,0.007897615432739258
192,2736,0.007005929946899414
193,2751,0.00800466537475586
194,2764,0.008008003234863281
195,2779,0.008098602294921875
196,2793,0.008005857467651367
197,2807,0.008083343505859375
198,2822,0.008992195129394531
199,2835,0.008107662200927734
200,2850,0.008234739303588867
201,2864,0.008223533630371094
202,2878,0.008007526397705078
203,2892,0.008999347686767578
204,2907,0.008006572723388672
205,2921,0.008004903793334961
206,2935,0.007884740829467773
207,2947,0.008002042770385742
208,2963,0.00810551643371582
209,2977,0.00815439224243164
210,2992,0.009001970291137695
211,3006,0.009001493453979492
212,3020,0.008002281188964844
213,3034,0.008995771408081055
214,3048,0.009061336517333984
215,3063,0.007995843887329102
216,3077,0.009003877639770508
217,3091,0.009000778198242188
218,3104,0.009106159210205078
219,3119,0.008998394012451172
220,3132,0.009285926818847656
221,3148,0.009001970291137695
222,3161,0.009000539779663086
223,3176,0.008992910385131836
224,3189,0.009311914443969727
225,3205,0.008987903594970703
226,3218,0.009015321731567383
227,3233,0.009092569351196289
228,3247,0.009947538375854492
229,3261,0.00899362564086914
230,3275,0.008996963500976562
231,3289,0.010003328323364258
232,3304,0.008913516998291016
233,3317,0.008993387222290039
234,3332,0.00931406021118164
235,3346,0.009994029998779297
236,3360,0.010998725891113281
237,3374,0.009996175765991211
238,3388,0.009006977081298828
239,3402,0.010011911392211914
240,3416,0.009000778198242188
241,3431,0.010099172592163086
242,3446,0.009999752044677734
243,3460,0.010005474090576172
244,3473,0.009998559951782227
245,3488,0.009999513626098633
246,3502,0.010205507278442383
247,3516,0.011080265045166016
248,3530,0.009281635284423828
249,3545,0.009988069534301758
250,3559,0.01032876968383789
251,3573,0.010463476181030273
252,3587,0.01114034652709961
253,3602,0.010012626647949219
254,3615,0.009901046752929688
255,3630,0.010900735855102539
256,3644,0.010025262832641602
257,3658,0.010003089904785156
258,3673,0.009999752044677734
259,3687,0.010005474090576172
260,3701,0.010999441146850586
261,3714,0.010335922241210938
262,3729,0.011993169784545898
263,3743,0.010240554809570312
264,3757,0.011003971099853516
265,3772,0.010007381439208984
266,3786,0.011000633239746094
267,3800,0.009998083114624023
268,3814,0.010998010635375977
269,3829,0.010999441146850586
270,3842,0.011321306228637695
271,3857,0.010999917984008789
272,3871,0.012337684631347656
273,3885,0.011353731155395508
274,3899,0.011101484298706055
275,3913,0.012008428573608398
276,3928,0.01099538803100586
277,3942,0.011315107345581055
278,3956,0.011101484298706055
279,3970,0.01100468635559082
280,3985,0.012217044830322266
281,3997,0.011016607284545898
282,4012,0.010994195938110352
283,4027,0.012000083923339844
284,4041,0.01107335090637207
285,4055,0.011070966720581055
286,4070,0.01198887825012207
287,4084,0.012310266494750977
288,4098,0.011996746063232422
289,4112,0.012001514434814453
290,4126,0.010999202728271484
291,4140,0.012003421783447266
292,4155,0.011999845504760742
293,4169,0.011893033981323242
294,4183,0.013345956802368164
295,4197,0.011325359344482422
296,4211,0.012987852096557617
297,4226,0.011995553970336914
298,4240,0.012000322341918945
299,4254,0.012001276016235352
300,4268,0.012999773025512695
301,4282,0.01228189468383789
302,4297,0.013229131698608398
303,4310,0.012033462524414062
304,4325,0.011998176574707031
305,4339,0.012947559356689453
306,4353,0.01302790641784668
307,4368,0.012153863906860352
308,4381,0.011994600296020508
309,4396,0.013106107711791992
310,4410,0.012000560760498047
311,4424,0.012428760528564453
312,4438,0.013000011444091797
313,4450,0.012009382247924805
314,4467,0.012987375259399414
315,4481,0.013000011444091797
316,4495,0.013010025024414062
317,4509,0.01299595832824707
318,4523,0.013001441955566406
319,4538,0.013000011444091797
320,4552,0.013168096542358398
321,4566,0.013167619705200195
322,4580,0.013004302978515625
323,4594,0.01309823989868164
324,4609,0.013893365859985352
325,4623,0.01400613784790039
326,4636,0.013031721115112305
327,4651,0.013289928436279297
328,4665,0.013102054595947266
329,4679,0.013002395629882812
330,4693,0.013000011444091797
331,4707,0.013998270034790039
332,4721,0.014005184173583984
333,4736,0.013003349304199219
334,4751,0.014048337936401367
335,4764,0.013002634048461914
336,4779,0.013993263244628906
337,4793,0.013372659683227539
338,4807,0.013993501663208008
339,4821,0.012896060943603516
340,4835,0.01489877700805664
341,4850,0.014002323150634766
342,4864,0.014077425003051758
343,4878,0.01499629020690918
344,4892,0.013988971710205078
345,4906,0.013995885848999023
346,4921,0.01400303840637207
347,4935,0.01399683952331543
348,4949,0.013890504837036133
349,4963,0.014999866485595703
350,4977,0.014360904693603516
351,4991,0.013993501663208008
352,5005,0.015099287033081055
353,5020,0.013894081115722656
354,5034,0.014159917831420898
355,5048,0.014999866485595703
356,5062,0.01512765884399414
357,5076,0.014003753662109375
358,5091,0.014008283615112305
359,5105,0.014169692993164062
360,5119,0.015005111694335938
361,5133,0.014996528625488281
362,5148,0.01390218734741211
363,5161,0.015010595321655273
364,5176,0.015000104904174805
365,5190,0.01400136947631836
366,5204,0.01500844955444336
367,5219,0.014999866485595703
368,5232,0.0149993896484375
369,5247,0.014998435974121094
370,5261,0.014999628067016602
371,5275,0.015016794204711914
372,5289,0.016017913818359375
373,5303,0.015005826950073242
374,5317,0.01499629020690918
375,5331,0.016068458557128906
376,5346,0.015001535415649414
377,5360,0.015000581741333008
378,5374,0.016016721725463867
379,5388,0.015996694564819336
380,5403,0.0159914493560791
381,5416,0.016241788864135742
382,5431,0.014997720718383789
383,5445,0.015000104904174805
384,5458,0.015009641647338867
385,5474,0.015007495880126953
386,5488,0.016001224517822266
387,5502,0.016236543655395508
388,5516,0.015999794006347656
389,5530,0.016007661819458008
390,5544,0.015995502471923828
391,5557,0.01697540283203125
392,5573,0.015012025833129883
393,5587,0.016002178192138672
394,5601,0.015999794006347656
395,5616,0.015331029891967773
396,5630,0.016215085983276367
397,5644,0.01706552505493164
398,5657,0.01628255844116211
399,5672,0.016000032424926758
400,5686,0.017006874084472656
401,5701,0.015995264053344727
402,5715,0.016000747680664062
403,5727,0.016011714935302734
404,5742,0.017000675201416016
405,5757,0.015999794006347656
406,5771,0.01700592041015625
407,5784,0.017110824584960938
408,5800,0.01598834991455078
409,5814,0.017006397247314453
410,5828,0.01701641082763672
411,5842,0.01600360870361328
412,5856,0.017102479934692383
413,5870,0.016150712966918945
414,5885,0.01699995994567871
415,5899,0.0171658992767334
416,5913,0.0169980525970459
417,5928,0.01689887046813965
418,5942,0.017142534255981445
419,5956,0.016893863677978516
420,5970,0.017997264862060547
421,5984,0.016997337341308594
422,5998,0.017290592193603516
423,6013,0.019071102142333984
424,6027,0.016991853713989258
425,6041,0.01801776885986328
426,6055,0.018002033233642578
427,6069,0.01699972152709961
428,6084,0.018000125885009766
429,6098,0.018004179000854492
430,6112,0.01700448989868164
431,6126,0.018113374710083008
432,6140,0.016998291015625
433,6154,0.018000364303588867
434,6169,0.017989635467529297
435,6181,0.018004417419433594
436,6197,0.01814126968383789
437,6210,0.016998767852783203
438,6225,0.017327308654785156
439,6239,0.01800227165222168
440,6254,0.016995906829833984
441,6268,0.017997264862060547
442,6282,0.018108129501342773
443,6296,0.017992496490478516
444,6311,0.01800823211669922
445,6325,0.018002033233642578
446,6338,0.018013954162597656
447,6351,0.01834869384765625
448,6367,0.01812005043029785
449,6381,0.01801609992980957
450,6396,0.017997026443481445
451,6410,0.018999814987182617
452,6423,0.019082307815551758
453,6438,0.018991470336914062
454,6452,0.018003463745117188
455,6466,0.019103288650512695
456,6481,0.01800370216369629
457,6494,0.019105911254882812
458,6509,0.019000768661499023
459,6523,0.019002437591552734
460,6537,0.018010377883911133
461,6552,0.01900339126586914
462,6565,0.018915891647338867
463,6578,0.018004655838012695
464,6594,0.01799917221069336
465,6608,0.01832270622253418
466,6623,0.01933455467224121
467,6636,0.018990039825439453
468,6651,0.02100539207458496
469,6665,0.01899433135986328
470,6679,0.01899433135986328
471,6693,0.018896818161010742
472,6708,0.019001007080078125
473,6721,0.01899862289428711
474,6736,0.019991397857666016
475,6750,0.02013540267944336
476,6764,0.019005775451660156
477,6778,0.019992589950561523
478,6793,0.019009113311767578
479,6807,0.02038407325744629
480,6820,0.01999974250793457
481,6835,0.01900029182434082
482,6849,0.02099919319152832
483,6863,0.019994497299194336
484,6878,0.020001888275146484
485,6892,0.01903080940246582
486,6906,0.019999980926513672
487,6919,0.019261837005615234
488,6934,0.020270109176635742
489,6948,0.02001214027404785
490,6962,0.019990205764770508
491,6977,0.019477128982543945
492,6991,0.020007610321044922
493,7005,0.020010709762573242
494,7020,0.020032167434692383
495,7033,0.02009415626525879
496,7048,0.020006418228149414
497,7061,0.02010798454284668
498,7076,0.01999664306640625
499,7091,0.02001214027404785
500,7105,0.020099639892578125
501,7119,0.021005630493164062
502,7133,0.020914077758789062
503,7147,0.021198272705078125
504,7161,0.01999974250793457
505,7175,0.022209882736206055
506,7190,0.020004749298095703
507,7203,0.020038604736328125
508,7218,0.020096540451049805
509,7232,0.02100992202758789
510,7246,0.020295381546020508
511,7260,0.020994901657104492
512,7275,0.020989179611206055
513,7289,0.021003007888793945
514,7303,0.02001047134399414
515,7317,0.02101445198059082
516,7331,0.021659135818481445
517,7345,0.021001815795898438
518,7360,0.022008180618286133
519,7374,0.02115464210510254
520,7388,0.020999908447265625
521,7402,0.021004915237426758
522,7416,0.021112918853759766
523,7431,0.020999908447265625
524,7445,0.021305084228515625
525,7459,0.022270679473876953
526,7473,0.0224764347076416
527,7488,0.020999670028686523
528,7502,0.020895004272460938
529,7516,0.02099919319152832
530,7530,0.02100539207458496
531,7544,0.020997047424316406
532,7558,0.021006107330322266
533,7573,0.021999120712280273
534,7587,0.021002769470214844
535,7601,0.021001338958740234
536,7615,0.02199721336364746
537,7629,0.022182703018188477
538,7643,0.02199721336364746
539,7658,0.022005796432495117
540,7672,0.022162437438964844
541,7686,0.022233009338378906
542,7700,0.02193593978881836
543,7715,0.02207207679748535
544,7729,0.0230257511138916
545,7743,0.02303290367126465
546,7757,0.021999835968017578
547,7771,0.023002147674560547
548,7786,0.02200484275817871
549,7799,0.02200007438659668
550,7813,0.023993968963623047
551,7828,0.022013187408447266
552,7841,0.022996187210083008
553,7856,0.02209782600402832
554,7870,0.0231020450592041
555,7884,0.022996902465820312
556,7899,0.023003101348876953
557,7913,0.024257898330688477
558,7927,0.02309703826904297
559,7941,0.023339271545410156
560,7954,0.02201223373413086
561,7970,0.023261070251464844
562,7984,0.02299189567565918
563,7998,0.02381134033203125
564,8012,0.02314615249633789
565,8027,0.023005247116088867
566,8039,0.023006916046142578
567,8055,0.023954153060913086
568,8068,0.0240323543548584
569,8083,0.022999286651611328
570,8097,0.022906780242919922
571,8111,0.023016691207885742
572,8125,0.02428412437438965
573,8140,0.02299976348876953
574,8154,0.02299952507019043
575,8168,0.024018049240112305
576,8182,0.02567005157470703
577,8197,0.024013519287109375
578,8211,0.024959564208984375
579,8225,0.025426626205444336
580,8239,0.024970531463623047
581,8253,0.023052692413330078
582,8267,0.02399587631225586
583,8281,0.02300405502319336
584,8296,0.02488112449645996
585,8310,0.0240175724029541
586,8324,0.025155067443847656
587,8338,0.02389359474182129
588,8353,0.023857593536376953
589,8367,0.023999452590942383
590,8381,0.025002479553222656
591,8395,0.024007558822631836
592,8409,0.024295330047607422
593,8424,0.02595067024230957
594,8437,0.02606654167175293
595,8452,0.023894309997558594
596,8466,0.023897886276245117
597,8480,0.026077747344970703
598,8494,0.02509903907775879
599,8508,0.024994850158691406
600,8523,0.025098562240600586
601,8537,0.024517297744750977
602,8551,0.02456974983215332
603,8565,0.025269746780395508
604,8579,0.023999691009521484
605,8593,0.024898290634155273
606,8607,0.026007413864135742
607,8622,0.025324583053588867
608,8636,0.02406907081604004
609,8649,0.02499985694885254
610,8665,0.025000333786010742
611,8678,0.02499866485595703
612,8693,0.024892091751098633
613,8706,0.025102615356445312
614,8721,0.025940656661987305
615,8736,0.02499866485595703
616,8749,0.024367809295654297
617,8764,0.025038957595825195
618,8778,0.024950742721557617
619,8792,0.026105880737304688
