#,Algorithm,Mode,Lib,DPS,Precision,Correct digits,Calculation time,Description
64,Bellard formula,MPI dynamic,mpmath,10001,3321,10000 / 10000,00:00:02:688,
65,Bellard formula,MPI dynamic,mpmath,50001,16609,49999 / 50000,00:01:49:5,
66,Bellard formula,MPI dynamic,mpmath,100001,33217,99998 / 100000,00:13:57:849,
67,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,50001,3526,49999 / 50000,00:00:44:117,
68,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:00:583,
69,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,mpmath,10001,706,10000 / 10000,00:00:02:230,
70,Chudnovsky formula (factorial),multi-processed,mpmath,10001,706,10000 / 10000,00:00:00:885,
71,"Bellard formula, (no iteration time measurement)",single-threaded,decimal,10001,3321,9998 / 10000,00:00:07:808,
72,"Bellard formula, (no iteration time measurement)",single-threaded,decimal,50001,16609,50000 / 50000,00:04:29:116,
73,"Bellard formula, (no iteration time measurement)",single-threaded,decimal,100001,33217,99997 / 100000,00:18:12:269,
74,Bellard formula,multi-processed,decimal,10001,3321,9998 / 10000,00:00:01:581,
75,Bellard formula,multi-processed,decimal,50001,16609,50000 / 50000,00:00:44:917,
76,Bellard formula,multi-processed,decimal,100001,33217,99997 / 100000,00:04:14:582,
77,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,decimal,10001,706,9998 / 10000,00:00:32:286,
78,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,decimal,10001,706,9998 / 10000,00:00:01:446,
79,Chudnovsky formula (factorial),multi-processed,decimal,10001,706,9998 / 10000,00:00:03:793,
80,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,decimal,50001,3526,49998 / 50000,00:18:59:536,
81,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,decimal,50001,3526,49998 / 50000,00:01:31:327,
82,Chudnovsky formula (factorial),multi-processed,decimal,50001,3526,49998 / 50000,00:03:52:91,
83,"Chudnovsky formula (no factorial), (no iteration time measurement)",single-threaded,decimal,100001,7052,99998 / 100000,00:08:59:965,
84,"Chudnovsky formula (factorial), (no iteration time measurement)",single-threaded,decimal,100001,7052,99998 / 100000,01:28:52:296,
85,Chudnovsky formula (factorial),multi-processed,decimal,100001,7052,99998 / 100000,00:19:32:324,
86,"Chudnovsky formula (no factorial), (with iteration time measurement)",single-threaded,decimal,100001,7052,99998 / 100000,01:27:15:734,
87,"Chudnovsky formula (factorial), (with iteration time measurement)",single-threaded,decimal,100001,7052,99998 / 100000,01:35:32:154,
