Precision,Accuracy,Time for iteration
1,27,0.0009984970092773438
2,41,0.0
3,55,0.001001119613647461
4,69,0.0
5,84,0.0
6,98,0.0
7,112,0.0
8,126,0.0009391307830810547
9,141,0.0
10,155,0.0
11,169,0.0
12,183,0.0
13,197,0.0
14,212,0.0
15,226,0.0
16,240,0.0010285377502441406
17,254,0.0009992122650146484
18,268,0.0
19,282,0.0009982585906982422
20,296,0.0009942054748535156
21,311,0.0009930133819580078
22,325,0.0
23,339,0.0010008811950683594
24,353,0.0008862018585205078
25,368,0.0010111331939697266
26,382,0.0010004043579101562
27,396,0.0
28,410,0.0005404949188232422
29,424,0.0
30,439,0.001028299331665039
31,453,0.0
32,467,0.0
33,480,0.0009996891021728516
34,495,0.0
35,510,0.0010075569152832031
36,523,0.000993967056274414
37,538,0.0008993148803710938
38,552,0.001008749008178711
39,566,0.0010063648223876953
40,580,0.0009999275207519531
41,595,0.00106048583984375
42,608,0.0010149478912353516
43,623,0.000995635986328125
44,636,0.0
45,651,0.0
46,665,0.0
47,680,0.0010027885437011719
48,694,0.0010347366333007812
49,708,0.0010073184967041016
50,722,0.0010044574737548828
51,736,0.0009911060333251953
52,750,0.0010089874267578125
53,760,0.0010044574737548828
54,778,0.0010008811950683594
55,792,0.0009970664978027344
56,807,0.0009551048278808594
57,822,0.0010211467742919922
58,836,0.0010037422180175781
59,850,0.0009903907775878906
60,864,0.002004384994506836
61,878,0.0010180473327636719
62,893,0.0010042190551757812
63,906,0.0009899139404296875
64,920,0.0010232925415039062
65,935,0.0009996891021728516
66,949,0.0011162757873535156
67,964,0.001979351043701172
68,978,0.0020003318786621094
69,992,0.0019965171813964844
70,1006,0.0010001659393310547
71,1020,0.0010023117065429688
72,1035,0.001888275146484375
73,1049,0.001998424530029297
74,1063,0.000988006591796875
75,1076,0.002008676528930664
76,1091,0.0009961128234863281
77,1105,0.0010023117065429688
78,1119,0.0019974708557128906
79,1133,0.000978231430053711
80,1148,0.001050710678100586
81,1162,0.0020127296447753906
82,1176,0.002034902572631836
83,1189,0.002017974853515625
84,1204,0.002029895782470703
85,1219,0.0009992122650146484
86,1233,0.0010135173797607422
87,1247,0.000993967056274414
88,1261,0.0020012855529785156
89,1276,0.0020134449005126953
90,1289,0.0009992122650146484
91,1304,0.001951456069946289
92,1317,0.0020072460174560547
93,1332,0.002003908157348633
94,1346,0.0009348392486572266
95,1361,0.0019989013671875
96,1375,0.0019998550415039062
97,1389,0.002003192901611328
98,1403,0.0009098052978515625
99,1418,0.0021245479583740234
100,1432,0.0020949840545654297
101,1445,0.0020177364349365234
102,1460,0.0020055770874023438
103,1474,0.001995563507080078
104,1489,0.0009989738464355469
105,1503,0.0009999275207519531
106,1517,0.0019996166229248047
107,1530,0.0019998550415039062
108,1545,0.002004384994506836
109,1559,0.002010345458984375
110,1574,0.0013892650604248047
111,1586,0.0019960403442382812
112,1602,0.0020246505737304688
113,1615,0.002000093460083008
114,1630,0.001999378204345703
115,1644,0.0020012855529785156
116,1658,0.0020041465759277344
117,1673,0.0019974708557128906
118,1686,0.002040386199951172
119,1701,0.001901865005493164
120,1715,0.001058340072631836
121,1728,0.0019998550415039062
122,1744,0.0019996166229248047
123,1757,0.0009996891021728516
124,1772,0.002163410186767578
125,1785,0.0019986629486083984
126,1800,0.0029850006103515625
127,1815,0.002001047134399414
128,1828,0.0019991397857666016
129,1843,0.0029993057250976562
130,1857,0.001995563507080078
131,1871,0.001991748809814453
132,1885,0.0019998550415039062
133,1900,0.0019996166229248047
134,1913,0.002981424331665039
135,1928,0.0019998550415039062
136,1942,0.0030329227447509766
137,1956,0.0020122528076171875
138,1971,0.0019991397857666016
139,1985,0.0029997825622558594
140,1999,0.001983642578125
141,2013,0.0029997825622558594
142,2027,0.0019998550415039062
143,2042,0.002002239227294922
144,2056,0.0029773712158203125
145,2069,0.0019996166229248047
146,2084,0.003144502639770508
147,2098,0.002001047134399414
148,2113,0.002007007598876953
149,2127,0.0019958019256591797
150,2140,0.0019905567169189453
151,2155,0.0020074844360351562
152,2169,0.0019855499267578125
153,2183,0.001995563507080078
154,2198,0.001988649368286133
155,2211,0.0019965171813964844
156,2225,0.0020055770874023438
157,2239,0.0020003318786621094
158,2254,0.0030341148376464844
159,2268,0.0030050277709960938
160,2282,0.0030002593994140625
161,2297,0.001993894577026367
162,2311,0.0019750595092773438
163,2325,0.0030057430267333984
164,2337,0.001972198486328125
165,2352,0.0019989013671875
166,2368,0.0020012855529785156
167,2382,0.002992868423461914
168,2396,0.002009868621826172
169,2410,0.0029997825622558594
170,2424,0.003000974655151367
171,2438,0.002997159957885742
172,2453,0.0021560192108154297
173,2467,0.001987934112548828
174,2481,0.002981901168823242
175,2495,0.0029993057250976562
176,2510,0.0030126571655273438
177,2524,0.0030028820037841797
178,2537,0.002162933349609375
179,2551,0.003007173538208008
180,2565,0.0029997825622558594
181,2581,0.0029888153076171875
182,2595,0.002989053726196289
183,2608,0.002981901168823242
184,2623,0.002994060516357422
185,2637,0.0030007362365722656
186,2651,0.0029997825622558594
187,2665,0.0030014514923095703
188,2680,0.002997159957885742
189,2694,0.0030040740966796875
190,2708,0.003070831298828125
191,2722,0.00299835205078125
192,2736,0.004008293151855469
193,2751,0.00393986701965332
194,2764,0.002980947494506836
195,2779,0.003002643585205078
196,2793,0.0029997825622558594
197,2807,0.004309415817260742
198,2822,0.0029993057250976562
199,2835,0.003036022186279297
200,2850,0.0029935836791992188
201,2864,0.0029904842376708984
202,2878,0.002999544143676758
203,2892,0.0029990673065185547
204,2907,0.003167867660522461
205,2921,0.004003286361694336
206,2935,0.0029840469360351562
207,2947,0.0030066967010498047
208,2963,0.0031023025512695312
209,2977,0.0029997825622558594
210,2992,0.003999471664428711
211,3006,0.0029993057250976562
212,3020,0.0039997100830078125
213,3034,0.002999544143676758
214,3048,0.002998828887939453
215,3063,0.0032563209533691406
216,3077,0.0039920806884765625
217,3091,0.004000186920166016
218,3104,0.00401759147644043
219,3119,0.004011392593383789
220,3132,0.0030324459075927734
221,3148,0.0029926300048828125
222,3161,0.0029997825622558594
223,3176,0.004000186920166016
224,3189,0.004155158996582031
225,3205,0.0038313865661621094
226,3218,0.002988100051879883
227,3233,0.003006458282470703
228,3247,0.002923727035522461
229,3261,0.002268552780151367
230,3275,0.0030014514923095703
231,3289,0.0028841495513916016
232,3304,0.0030150413513183594
233,3317,0.0029985904693603516
234,3332,0.0030710697174072266
235,3346,0.0041103363037109375
236,3360,0.003998756408691406
237,3374,0.00299835205078125
238,3388,0.0031087398529052734
239,3402,0.0030007362365722656
240,3416,0.002998828887939453
