Precision,Accuracy,Time for iteration
0,3,0.0020208358764648438
1,6,0.002002239227294922
2,9,0.0019965171813964844
3,13,0.0021173954010009766
4,16,0.0020024776458740234
5,19,0.002025604248046875
6,22,0.0019958019256591797
7,25,0.002001523971557617
8,28,0.003001689910888672
9,30,0.0019979476928710938
10,34,0.0019996166229248047
11,37,0.002001523971557617
12,40,0.0020046234130859375
13,44,0.0019783973693847656
14,46,0.0015969276428222656
15,48,0.003090381622314453
16,53,0.002009868621826172
17,55,0.001983642578125
18,58,0.0020105838775634766
19,61,0.002000093460083008
20,64,0.0020148754119873047
21,68,0.002001047134399414
22,70,0.0019989013671875
23,74,0.0020012855529785156
24,76,0.001016855239868164
25,80,0.0019998550415039062
26,82,0.002013683319091797
27,86,0.0020160675048828125
28,89,0.0009887218475341797
29,91,0.0020143985748291016
30,95,0.002002239227294922
31,98,0.0020165443420410156
32,101,0.001993894577026367
33,104,0.0010142326354980469
34,107,0.001996755599975586
35,110,0.003036975860595703
36,113,0.0020074844360351562
37,116,0.0009996891021728516
38,119,0.0009984970092773438
39,122,0.0020008087158203125
40,125,0.0020008087158203125
41,128,0.0010001659393310547
42,131,0.0018916130065917969
43,134,0.0019903182983398438
44,137,0.002017974853515625
45,140,0.0019991397857666016
46,142,0.001980304718017578
47,146,0.002001047134399414
48,149,0.0010325908660888672
49,152,0.0019969940185546875
50,155,0.0019998550415039062
51,157,0.0020017623901367188
52,162,0.0019986629486083984
53,164,0.002000093460083008
54,167,0.002001523971557617
55,170,0.0020008087158203125
56,174,0.0009701251983642578
57,176,0.0009996891021728516
58,178,0.002000093460083008
59,182,0.0018939971923828125
60,185,0.0019998550415039062
61,189,0.0011076927185058594
62,191,0.0019135475158691406
63,193,0.001997232437133789
64,197,0.002271890640258789
65,200,0.0021021366119384766
66,203,0.002024412155151367
67,207,0.0010175704956054688
68,209,0.002036571502685547
69,213,0.0020334720611572266
70,216,0.002017498016357422
71,218,0.0020058155059814453
72,222,0.002001047134399414
73,225,0.0020051002502441406
74,228,0.0020253658294677734
75,231,0.0020008087158203125
76,233,0.0019960403442382812
77,236,0.0010025501251220703
78,240,0.0010020732879638672
79,242,0.0020003318786621094
80,245,0.001989126205444336
81,248,0.001992940902709961
82,252,0.0009980201721191406
83,255,0.002002239227294922
84,257,0.0020029544830322266
85,261,0.0019969940185546875
86,264,0.0008955001831054688
87,267,0.0009999275207519531
88,270,0.002004384994506836
89,273,0.002003908157348633
90,276,0.001995563507080078
91,279,0.0019974708557128906
92,282,0.0021245479583740234
93,285,0.0020034313201904297
94,288,0.0020089149475097656
95,291,0.0019905567169189453
96,294,0.002123117446899414
