Precision,Accuracy,Time for iteration
116,1658,0.5997591018676758
117,1673,0.5729501247406006
118,1686,0.6260881423950195
119,1701,0.5966246128082275
120,1715,0.6531393527984619
121,1728,0.599461555480957
122,1744,0.5454757213592529
123,1757,0.6327552795410156
124,1772,0.5695745944976807
125,1785,0.6281027793884277
126,1800,0.600858211517334
127,1815,0.5655572414398193
128,1828,0.6048502922058105
129,1843,0.5715076923370361
130,1857,0.6306881904602051
131,1871,0.5737295150756836
132,1885,0.6449630260467529
133,1900,0.601830005645752
134,1913,0.5446691513061523
135,1928,0.6330325603485107
136,1942,0.5869245529174805
137,1956,0.636669397354126
138,1971,0.6050024032592773
139,1985,0.5187869071960449
140,1999,0.6007585525512695
141,2013,0.5793356895446777
142,2027,0.6298282146453857
143,2042,0.577002763748169
144,2056,0.6289510726928711
145,2069,0.600428581237793
146,2084,0.5629477500915527
147,2098,0.6451187133789062
148,2113,0.5799353122711182
149,2127,0.6448895931243896
150,2140,0.6186282634735107
151,2155,0.670687198638916
152,2169,0.6249418258666992
153,2183,0.586761474609375
154,2198,0.6423087120056152
155,2211,0.5872466564178467
156,2225,0.6539816856384277
157,2239,0.60910964012146
158,2254,0.5484764575958252
159,2268,0.6025092601776123
160,2282,0.5743358135223389
161,2297,0.638296365737915
162,2311,0.5741567611694336
163,2325,0.664644718170166
164,2337,0.6261429786682129
165,2352,0.5484845638275146
166,2368,0.6429135799407959
167,2382,0.5769381523132324
168,2396,0.6349625587463379
169,2410,0.6057531833648682
170,2424,0.545870304107666
171,2438,0.6019117832183838
172,2453,0.570274829864502
173,2467,0.6381924152374268
174,2481,0.5728859901428223
175,2495,0.6323492527008057
176,2510,0.6030881404876709
177,2524,0.54296875
178,2537,0.6407907009124756
179,2551,0.5728754997253418
180,2565,0.6382830142974854
181,2581,0.6217851638793945
182,2595,0.6627950668334961
183,2608,0.6006917953491211
184,2623,0.5935266017913818
185,2637,0.6382603645324707
186,2651,0.5719966888427734
187,2665,0.6319518089294434
188,2680,0.6037955284118652
189,2694,0.5460121631622314
190,2708,0.6075973510742188
191,2722,0.5907714366912842
192,2736,0.6546103954315186
193,2751,0.6112306118011475
194,2764,0.6627788543701172
195,2779,0.6084980964660645
196,2793,0.549140214920044
197,2807,0.6324999332427979
198,2822,0.576176643371582
199,2835,0.6471872329711914
200,2850,0.6093525886535645
201,2864,0.5566627979278564
202,2878,0.6121878623962402
203,2892,0.5898454189300537
204,2907,0.6401987075805664
205,2921,0.58612060546875
206,2935,0.6402938365936279
207,2947,0.6106181144714355
208,2963,0.5511815547943115
209,2977,0.6464362144470215
210,2992,0.5869045257568359
211,3006,0.639718770980835
212,3020,0.6120202541351318
213,3034,0.5208768844604492
214,3048,0.6143026351928711
215,3063,0.5783636569976807
216,3077,0.6308650970458984
217,3091,0.5934090614318848
218,3104,0.6356728076934814
219,3119,0.6115002632141113
220,3132,0.5561585426330566
221,3148,0.60772705078125
222,3161,0.5902078151702881
223,3176,0.63800048828125
224,3189,0.6113147735595703
225,3205,0.6610023975372314
226,3218,0.6100611686706543
227,3233,0.5565824508666992
228,3247,0.6350507736206055
229,3261,0.5850553512573242
230,3275,0.6410858631134033
231,3289,0.6113314628601074
232,3304,0.5565311908721924
233,3317,0.6091840267181396
234,3332,0.6086177825927734
235,3346,0.6986920833587646
236,3360,0.6507558822631836
237,3374,0.6809196472167969
238,3388,0.6183078289031982
239,3402,0.5651028156280518
240,3416,0.643505334854126
241,3431,0.580322265625
242,3446,0.6379539966583252
243,3460,0.6133420467376709
244,3473,0.5254042148590088
245,3488,0.6136574745178223
246,3502,0.583371639251709
247,3516,0.6365845203399658
248,3530,0.5798165798187256
249,3545,0.6425883769989014
250,3559,0.615093469619751
251,3573,0.5538983345031738
252,3587,0.6140151023864746
253,3602,0.5921406745910645
254,3615,0.637486457824707
255,3630,0.6065456867218018
256,3644,0.6681663990020752
257,3658,0.6118478775024414
258,3673,0.5501720905303955
259,3687,0.6399297714233398
260,3701,0.5857653617858887
261,3714,0.641045331954956
262,3729,0.6153371334075928
263,3743,0.561342716217041
