Precision,Accuracy,Time for iteration
0,13,0.04705190658569336
1,27,0.04302406311035156
2,41,0.045343875885009766
3,55,0.04439496994018555
4,69,0.04301786422729492
5,84,0.0481259822845459
6,98,0.042498111724853516
7,112,0.04251217842102051
8,126,0.04700350761413574
9,141,0.043280839920043945
10,155,0.04499983787536621
11,169,0.043981075286865234
12,183,0.04336214065551758
13,197,0.048389434814453125
14,212,0.04690408706665039
15,226,0.042995452880859375
16,240,0.042099714279174805
17,254,0.047148704528808594
18,268,0.0452115535736084
19,282,0.04504132270812988
20,296,0.04589486122131348
21,311,0.04710125923156738
22,325,0.0441439151763916
23,339,0.04435396194458008
24,353,0.04349780082702637
25,368,0.04546380043029785
26,382,0.047739267349243164
27,396,0.044005393981933594
28,410,0.04729866981506348
29,424,0.045581817626953125
30,439,0.0462040901184082
31,453,0.047269344329833984
32,467,0.044638633728027344
33,480,0.04700183868408203
34,495,0.04900789260864258
35,510,0.04492020606994629
36,523,0.0475468635559082
37,538,0.04702615737915039
38,552,0.04809975624084473
39,566,0.04928755760192871
40,580,0.04832625389099121
41,595,0.04501080513000488
42,608,0.04499983787536621
43,623,0.049323320388793945
44,636,0.04799294471740723
45,651,0.048308372497558594
46,665,0.048996925354003906
47,680,0.045104265213012695
48,694,0.04308009147644043
49,708,0.04598855972290039
50,722,0.04500150680541992
51,736,0.048616886138916016
52,750,0.045099496841430664
53,760,0.04689478874206543
54,778,0.04799699783325195
55,792,0.0449671745300293
56,807,0.045297861099243164
57,822,0.04798746109008789
58,836,0.04496908187866211
59,850,0.050390005111694336
60,864,0.0434412956237793
61,878,0.04434990882873535
62,893,0.04514050483703613
63,906,0.04800224304199219
64,920,0.04301095008850098
65,935,0.04498744010925293
66,949,0.046064138412475586
67,964,0.04400444030761719
68,978,0.04509568214416504
69,992,0.04514360427856445
70,1006,0.04700422286987305
71,1020,0.045000314712524414
72,1035,0.04909777641296387
73,1049,0.05000877380371094
74,1063,0.044013261795043945
75,1076,0.04490041732788086
76,1091,0.0492250919342041
77,1105,0.04416799545288086
78,1119,0.04800009727478027
79,1133,0.05025672912597656
80,1148,0.04990077018737793
81,1162,0.04399561882019043
82,1176,0.04500007629394531
83,1189,0.04694652557373047
84,1204,0.047995805740356445
85,1219,0.04912066459655762
86,1233,0.046000003814697266
87,1247,0.04814410209655762
88,1261,0.050000905990600586
89,1276,0.04900097846984863
90,1289,0.048917293548583984
91,1304,0.04898381233215332
92,1317,0.044328927993774414
93,1332,0.04647541046142578
