Precision,Accuracy,Time for iteration
0,3,0.11521053314208984
1,6,0.11019182205200195
2,9,0.11115217208862305
3,13,0.1130063533782959
4,16,0.11085128784179688
5,19,0.11361813545227051
6,22,0.11200356483459473
7,25,0.11098909378051758
8,28,0.11199450492858887
9,30,0.11278438568115234
10,34,0.10999727249145508
11,37,0.11100506782531738
12,40,0.11100220680236816
13,44,0.11200475692749023
14,46,0.11715841293334961
15,48,0.11332249641418457
16,53,0.11130285263061523
17,55,0.11431312561035156
18,58,0.11236286163330078
19,61,0.10901975631713867
20,64,0.11300206184387207
21,68,0.10999679565429688
22,70,0.11340999603271484
23,74,0.11302661895751953
24,76,0.11246252059936523
25,80,0.11213445663452148
26,82,0.11202573776245117
27,86,0.1100013256072998
28,89,0.11425352096557617
29,91,0.11403727531433105
30,95,0.11198997497558594
31,98,0.1089942455291748
32,101,0.11236071586608887
33,104,0.11052274703979492
34,107,0.11115670204162598
35,110,0.11280012130737305
36,113,0.10989642143249512
37,116,0.11129140853881836
38,119,0.11123013496398926
39,122,0.12493276596069336
40,125,0.11561465263366699
41,128,0.128615140914917
42,131,0.13652992248535156
43,134,0.13487601280212402
44,137,0.12467718124389648
45,140,0.13333988189697266
46,142,0.11801815032958984
47,146,0.11221051216125488
48,149,0.10946226119995117
49,152,0.11854147911071777
50,155,0.11201667785644531
51,157,0.11299514770507812
52,162,0.11198568344116211
53,164,0.10998773574829102
54,167,0.11081743240356445
55,170,0.11399984359741211
56,174,0.11129260063171387
57,176,0.11301350593566895
58,178,0.11073660850524902
59,182,0.10999584197998047
60,185,0.11200404167175293
61,189,0.11710095405578613
62,191,0.1090097427368164
63,193,0.11300015449523926
64,197,0.11403799057006836
65,200,0.11290884017944336
66,203,0.10910511016845703
67,207,0.11400008201599121
68,209,0.11641144752502441
69,213,0.11120414733886719
70,216,0.1133871078491211
71,218,0.11020159721374512
72,222,0.11099934577941895
73,225,0.11513233184814453
74,228,0.11428976058959961
75,231,0.11025524139404297
76,233,0.11199808120727539
77,236,0.10913515090942383
78,240,0.11432456970214844
79,242,0.12240266799926758
80,245,0.11619043350219727
81,248,0.11300015449523926
82,252,0.11291861534118652
83,255,0.10909581184387207
84,257,0.11044788360595703
85,261,0.11120796203613281
86,264,0.11232948303222656
87,267,0.11042475700378418
88,270,0.11114859580993652
89,273,0.1101992130279541
90,276,0.11100411415100098
91,279,0.11100077629089355
92,282,0.10914230346679688
93,285,0.10899186134338379
94,288,0.11357784271240234
95,291,0.1089937686920166
96,294,0.11226773262023926
97,297,0.1099998950958252
98,300,0.11020278930664062
99,303,0.11052489280700684
100,306,0.11011075973510742
101,309,0.10919785499572754
102,312,0.11442446708679199
103,315,0.11100435256958008
104,318,0.1110072135925293
105,321,0.10901021957397461
